"","year","swed017","tmp5","tmp6","tmp7","tmp8","tmp9","tmp_lato"
"1",1901,1.31,2.7,11.1,14.9,10.9,6.5,13
"2",1902,0.393,0.7,6.2,8.6,8.7,3.4,7.4
"3",1903,0.954,2.3,7.7,9.7,9.4,5.4,8.7
"4",1904,0.923,1.6,8.1,9.9,8.9,5.9,9
"5",1905,1.283,3.2,10.3,11.7,9.5,4.6,11
"6",1906,0.96,2.9,9.1,12.2,8.3,5,10.7
"7",1907,0.971,1,10.3,10.4,7.8,3.9,10.3
"8",1908,1.013,1.5,7.2,11.9,10.5,4.8,9.6
"9",1909,0.936,0.1,8.5,11.7,9.1,5.5,10.1
"10",1910,0.804,3.4,8.5,11,9.7,5.1,9.8
"11",1911,1.008,4.2,8,10.6,11,6,9.3
"12",1912,1.295,2.7,10.3,12.5,10.7,4.4,11.4
"13",1913,1.124,3.3,8.8,12.5,10.2,5.4,10.7
"14",1914,1.259,2,9.2,14,9.5,5.5,11.6
"15",1915,0.836,0.7,6.5,13,9.4,3.5,9.8
"16",1916,1.32,1.9,9.4,14.9,9,3.9,12.2
"17",1917,0.823,0.5,10.5,10.4,13.5,4.6,10.4
"18",1918,1.022,3.3,8.7,13.8,9.1,4.6,11.2
"19",1919,1.16,5.3,10.2,13.5,8.4,5.1,11.8
"20",1920,0.798,5,8.7,12.4,9.4,7.3,10.6
"21",1921,0.63,4.7,7.7,10.3,9.7,4.8,9
"22",1922,1.042,3.7,9.8,13,9.9,5.8,11.4
"23",1923,0.843,1.9,5.4,11,8.7,5.3,8.2
"24",1924,1.183,2.3,7.3,14,12,6.8,10.7
"25",1925,0.896,3.3,9.2,15.3,10.9,6,12.2
"26",1926,0.889,2,9.8,12.3,11.2,4.9,11.1
"27",1927,1.026,1.6,8.7,15.6,11.6,4.7,12.2
"28",1928,0.516,2.4,7.7,9.3,10,5,8.5
"29",1929,1.185,3.7,8.5,9.7,8.6,5.7,9.1
"30",1930,1.243,4.9,10.5,14.6,12.6,3.9,12.6
"31",1931,0.686,4.2,6.1,13.3,9.2,3.2,9.7
"32",1932,1.202,2.4,8,12.8,9.5,4,10.4
"33",1933,1.042,2.9,12.2,13.2,10.3,6.2,12.7
"34",1934,1.063,4.3,8.7,14.5,12.5,8.8,11.6
"35",1935,0.953,0.6,8.7,11.4,9.6,4.1,10.1
"36",1936,1.509,4.9,11.7,13.3,10.7,5.7,12.5
"37",1937,1.141,5.9,10.7,15.5,13.3,5.6,13.1
"38",1938,1.16,2.9,9.2,14.6,11.6,6.7,11.9
"39",1939,1.088,2,8.7,12.9,12.2,5,10.8
"40",1940,1.229,5.9,10.6,11.4,9.4,5.4,11
"41",1941,1.235,2.2,8.3,15.2,9.5,4.7,11.8
"42",1942,0.676,1.8,8.5,11.6,10.2,5.2,10.1
"43",1943,0.847,3.5,10.4,12.4,9.3,5.7,11.4
"44",1944,0.823,1.3,8,12,10,5.7,10
"45",1945,0.964,3,9.3,13.9,11.9,5,11.6
"46",1946,0.852,3.5,9.4,13.4,11.2,7.4,11.4
"47",1947,1.119,4.1,11.2,14.2,11.3,7,12.7
"48",1948,0.523,4,8.6,13.4,8.6,5.6,11
"49",1949,0.94,3.5,8.9,10.3,9,8,9.6
"50",1950,1.001,2.9,9.9,12.5,12.6,6.5,11.2
"51",1951,0.655,1,6.9,9.6,12.7,7,8.2
"52",1952,0.951,2.8,9,11.3,8.1,3.8,10.2
"53",1953,1.256,3.1,13.9,12.5,11.1,5.1,13.2
"54",1954,0.942,5.7,8.7,13.7,10.5,5.5,11.2
"55",1955,0.874,0.5,6.5,12.3,11.3,6.9,9.4
"56",1956,0.805,3.8,9.1,12.6,8.9,5,10.8
"57",1957,0.761,2.1,7.1,13.7,9.7,4.9,10.4
"58",1958,0.976,2.1,9,10.4,11.5,6.8,9.7
"59",1959,0.889,3.5,9.5,11.7,11,5.2,10.6
"60",1960,1.088,5.5,10.5,14,11.6,6.4,12.2
"61",1961,0.728,3.1,10.6,12.7,10.2,6.5,11.7
"62",1962,0.989,3,7.8,10.5,8.9,4.9,9.2
"63",1963,1.061,7.1,9.3,10.6,11.5,7.5,9.9
"64",1964,0.901,4.2,7.8,11.1,9.3,4.2,9.4
"65",1965,1.044,1.3,9.6,9.8,9.3,7.4,9.7
"66",1966,1.298,2.3,11.9,11.8,9.3,2.8,11.8
"67",1967,0.966,3.5,8.8,11,10.8,7.5,9.9
"68",1968,1.048,1.2,9.7,10.5,8.9,4.8,10.1
"69",1969,1.309,2.3,11.2,12.2,13.4,4.7,11.7
"70",1970,1.104,4,12.3,12.3,10.9,5,12.3
"71",1971,0.889,3.1,9.8,10.9,10,4.8,10.3
"72",1972,1.234,3.3,12,14.3,10.4,4.6,13.2
"73",1973,1.008,3.2,10.2,14.9,8.9,3.3,12.6
"74",1974,1.044,4.4,11,11.7,10.3,7.2,11.3
"75",1975,0.554,3.8,7.3,10.3,9.4,6,8.8
"76",1976,1.226,5.4,9,11.3,10.4,2.5,10.2
"77",1977,1.002,1.8,7.7,11.1,10,4.2,9.4
"78",1978,1.203,3.5,10.4,12.7,9.5,4.5,11.6
